,Model,Price,Year,Miles,Fuel,Transmission,EngineSize
2907,1 Series,21940,2021,26069,Petrol,Manual,1.6
2908,5 Series,21940,2021,46073,Petrol,Semiauto,2.0
2909,3 Series,22440,2020,35080,Petrol,Semiauto,2.0
2910,3 Series,22450,2020,25027,Diesel,Semiauto,2.0
2911,4 Series,22950,2020,39607,Diesel,Manual,2.0
2912,3 Series,23950,2021,29036,Petrol,Semiauto,3.0
2913,X3,28490,2022,4297,Petrol,Semiauto,3.0
2914,X3,11975,2017,70000,Diesel,Manual,2.0
2915,3 Series,20677,2021,46622,Petrol,Semiauto,2.0
2916,X1,9800,2016,76560,Petrol,Manual,1.5
2917,3 Series,12888,2018,71000,Petrol,Manual,2.0
2918,3 Series,4995,2009,85000,Diesel,Automatic,3.0
2919,3 Series,21000,2020,18811,Petrol,Manual,3.0
2920,4 Series,17000,2018,29500,Diesel,Automatic,2.0
2921,5 Series,6000,2012,74000,Petrol,Manual,2.0
2922,5 Series,3985,2008,90526,Diesel,Automatic,2.0
2923,3 Series,3495,2007,115000,Petrol,Automatic,2.0
2924,3 Series,5495,2011,86450,Diesel,Manual,2.0
2925,4 Series,10249,2016,57371,Petrol,Manual,2.0
2926,3 Series,10599,2016,55058,Petrol,Manual,3.0
2927,X3,10799,2017,77767,Petrol,Manual,3.0
2928,X3,12199,2017,37720,Petrol,Manual,2.0
2929,3 Series,12349,2017,35724,Petrol,Manual,2.0
2930,X1,13399,2018,29395,Diesel,Manual,1.5
2931,3 Series,13499,2018,37106,Petrol,Manual,2.0
2932,3 Series,13699,2017,69938,Diesel,Automatic,2.0
2933,3 Series,18449,2020,27956,Petrol,Manual,3.0
2934,3 Series,18949,2020,25217,Petrol,Manual,3.0
2935,4 Series,20099,2020,39276,Petrol,Automatic,2.0
2936,5 Series,21449,2020,21325,Petrol,Automatic,2.0
2937,1 Series,21549,2022,39514,Petrol,Automatic,1.6
2938,5 Series,22099,2022,5155,Petrol,Automatic,2.0
2939,3 Series,22549,2020,9598,Petrol,Automatic,2.0
2940,3 Series,22749,2022,2512,Petrol,Automatic,2.0
2941,4 Series,22799,2022,27528,Petrol,Automatic,2.0
2942,X3,22990,2022,21176,Petrol,Automatic,3.0
2943,X3,4995,2012,110000,Diesel,Manual,2.0
2944,3 Series,9990,2012,27214,Petrol,Automatic,2.0
2945,X1,12490,2015,36167,Petrol,Automatic,1.5
2946,3 Series,16990,2019,32487,Petrol,Manual,2.0
2947,3 Series,18990,2019,19606,Diesel,Manual,2.0
2948,3 Series,25990,2021,7164,Petrol,Automatic,3.0
2949,3 Series,6999,2012,65972,Diesel,Manual,3.0
2950,3 Series,11999,2016,55645,Diesel,Manual,3.0
2951,4 Series,13999,2018,83088,Diesel,Automatic,2.0
2952,5 Series,3898,2005,68000,Petrol,Automatic,2.0
2953,1 Series,7498,2012,54000,Petrol,Manual,1.6
2954,5 Series,12500,2017,41600,Petrol,Manual,2.0
2955,3 Series,23499,2020,29666,Petrol,Automatic,2.0
2956,4 Series,13750,2019,33375,Petrol,Manual,2.0
2957,X3,7299,2016,116255,Diesel,Manual,3.0
2958,X3,6495,2012,72515,Diesel,Manual,2.0
2959,3 Series,7495,2013,74639,Diesel,Manual,2.0
2960,X1,7750,2016,102618,Diesel,Manual,1.5
2961,3 Series,5429,2009,84000,Petrol,Automatic,2.0
2962,3 Series,14399,2018,48940,Petrol,Semiauto,2.0
2963,3 Series,20599,2020,34623,Petrol,Semiauto,3.0
2964,3 Series,13000,2016,40112,Petrol,Manual,3.0
2965,3 Series,5495,2011,61066,Diesel,Manual,3.0
2966,4 Series,11000,2018,59221,Diesel,Manual,2.0
2967,5 Series,19900,2020,43934,Petrol,Automatic,2.0
2968,1 Series,6995,2014,100975,Diesel,Automatic,1.6
2969,5 Series,4900,2011,108000,Diesel,Manual,2.0
2970,3 Series,10500,2015,43277,Petrol,Manual,2.0
2971,3 Series,18999,2019,21226,Petrol,Automatic,2.0
2972,4 Series,16190,2017,11000,Petrol,Automatic,2.0
2973,3 Series,9000,2015,81950,Diesel,Manual,3.0
2974,X3,12500,2019,110160,Petrol,Manual,3.0
2975,X3,14500,2019,31630,Petrol,Manual,2.0
2976,3 Series,17400,2020,80140,Petrol,Automatic,2.0
2977,3 Series,13450,2017,40382,Diesel,Manual,2.0
2978,3 Series,14950,2017,54592,Diesel,Manual,2.0
2979,3 Series,14950,2019,43220,Petrol,Manual,2.0
2980,3 Series,18850,2020,28845,Petrol,Manual,3.0
2981,3 Series,20440,2020,35300,Petrol,Manual,3.0
2982,3 Series,20850,2020,31915,Diesel,Manual,3.0
2983,4 Series,20940,2020,27354,Petrol,Manual,2.0
2984,5 Series,20950,2020,16144,Petrol,Manual,2.0
2985,1 Series,24940,2023,1407,Petrol,Manual,1.6
2986,5 Series,24950,2021,5689,Petrol,Semiauto,2.0
2987,4 Series,7295,2013,95520,Diesel,Manual,2.0
2988,3 Series,5995,2008,97191,Petrol,Automatic,3.0
2989,X3,18500,2019,24824,Petrol,Automatic,3.0
2990,X3,12780,2019,39634,Petrol,Manual,2.0
2991,X1,8490,2013,58000,Diesel,Manual,1.5
2992,3 Series,18001,2020,25647,Petrol,Manual,2.0
2993,3 Series,7250,2017,130000,Diesel,Automatic,2.0
2994,3 Series,20490,2020,39000,Diesel,Automatic,3.0
2995,3 Series,7298,2012,64231,Diesel,Manual,3.0
2996,3 Series,15800,2019,18430,Petrol,Automatic,3.0
2997,4 Series,17400,2020,73990,Petrol,Automatic,2.0
2998,5 Series,18000,2020,37170,Petrol,Manual,2.0
2999,1 Series,7698,2015,95258,Diesel,Manual,1.6
3000,5 Series,16490,2020,31858,Petrol,Manual,2.0
3001,3 Series,14200,2017,40739,Petrol,Manual,2.0
3002,3 Series,15499,2018,29100,Petrol,Manual,2.0
3003,4 Series,4495,2010,107930,Diesel,Automatic,2.0
3004,3 Series,4695,2013,116784,Diesel,Manual,3.0
3005,X3,5795,2013,109299,Diesel,Manual,3.0
3006,X3,5995,2014,92534,Diesel,Manual,2.0
3007,3 Series,6995,2013,52565,Diesel,Manual,2.0
3008,3 Series,5995,2013,79000,Petrol,Automatic,2.0
3009,3 Series,18989,2020,28384,Petrol,Manual,2.0
3010,3 Series,12990,2015,24706,Petrol,Manual,3.0
3011,3 Series,13500,2019,71500,Petrol,Manual,3.0
3012,4 Series,14600,2019,55720,Petrol,Manual,2.0
3013,5 Series,15700,2019,80560,Petrol,Manual,2.0
3014,1 Series,11990,2018,49449,Petrol,Manual,1.6
3015,5 Series,11499,2019,69577,Petrol,Manual,2.0
3016,3 Series,11599,2016,49026,Diesel,Manual,2.0
3017,3 Series,13999,2019,33911,Petrol,Manual,2.0
3018,3 Series,12990,2019,72917,Petrol,Manual,2.0
3019,4 Series,13950,2018,48403,Petrol,Manual,2.0
3020,X3,13990,2018,52477,Petrol,Manual,3.0
3021,X3,17000,2020,29000,Petrol,Manual,2.0
3022,3 Series,12499,2017,55082,Diesel,Manual,2.0
3023,X1,12999,2018,40294,Diesel,Manual,1.5
3024,3 Series,14995,2017,42213,Petrol,Automatic,2.0
3025,3 Series,12971,2019,90000,Diesel,Automatic,3.0
3026,3 Series,21137,2020,35210,Petrol,Automatic,3.0
3027,3 Series,14995,2017,42209,Petrol,Automatic,3.0
3028,4 Series,13495,2019,50000,Petrol,Automatic,2.0
3029,5 Series,6995,2010,54000,Diesel,Automatic,2.0
3030,1 Series,8995,2013,50000,Diesel,Manual,1.6
3031,5 Series,9598,2013,46422,Diesel,Automatic,2.0
3032,3 Series,4500,2011,96000,Diesel,Manual,2.0
3033,4 Series,4995,2012,124000,Diesel,Manual,2.0
3034,3 Series,14450,2019,55618,Petrol,Automatic,3.0
3035,X3,14990,2018,18928,Petrol,Manual,3.0
3036,X3,18990,2020,43766,Diesel,Manual,2.0
3037,3 Series,14053,2015,50000,Diesel,Automatic,2.0
3038,3 Series,10995,2016,85474,Diesel,Automatic,2.0
3039,X1,17995,2019,26000,Petrol,Manual,1.5
3040,3 Series,9720,2018,91649,Petrol,Manual,2.0
3041,3 Series,14720,2019,79998,Petrol,Automatic,2.0
3042,3 Series,8995,2017,120333,Diesel,Manual,3.0
3043,4 Series,15440,2019,73000,Petrol,Automatic,2.0
3044,5 Series,17750,2020,38514,Petrol,Manual,2.0
3045,1 Series,9699,2017,63246,Diesel,Manual,1.6
3046,3 Series,14999,2019,60700,Petrol,Automatic,2.0
3047,4 Series,18299,2020,18508,Petrol,Manual,2.0
3048,3 Series,22799,2020,10082,Diesel,Manual,3.0
3049,X3,23750,2020,8225,Petrol,Manual,3.0
3050,X3,19949,2019,32000,Petrol,Automatic,2.0
3051,3 Series,2995,2010,119000,Diesel,Manual,2.0
3052,3 Series,9990,2015,89626,Diesel,Manual,2.0
3053,X1,15990,2017,37000,Petrol,Automatic,1.5
3054,3 Series,15990,2017,84000,Diesel,Automatic,2.0
3055,3 Series,19799,2020,19800,Petrol,Manual,2.0
3056,3 Series,15990,2017,38031,Petrol,Automatic,2.0
3057,3 Series,5495,2009,50870,Diesel,Automatic,3.0
3058,3 Series,24791,2022,10378,Petrol,Manual,3.0
3059,3 Series,13500,2017,51000,Petrol,Manual,3.0
3060,4 Series,14000,2018,72000,Petrol,Automatic,2.0
3061,5 Series,7500,2013,76000,Diesel,Manual,2.0
3062,1 Series,8700,2013,64000,Diesel,Automatic,1.6
3063,5 Series,8850,2017,106000,Diesel,Manual,2.0
3064,3 Series,9000,2015,85000,Diesel,Manual,2.0
3065,3 Series,10000,2015,97000,Diesel,Automatic,2.0
3066,4 Series,10950,2015,59000,Petrol,Manual,2.0
3067,3 Series,11000,2014,66000,Diesel,Automatic,3.0
3068,X3,14999,2019,18800,Petrol,Manual,3.0
3069,X3,16799,2019,28459,Petrol,Manual,2.0
3070,3 Series,18499,2020,9613,Petrol,Manual,2.0
3071,X1,15940,2018,55678,Diesel,Automatic,1.5
3072,3 Series,15000,2018,25420,Petrol,Manual,2.0
3073,3 Series,16995,2016,27132,Diesel,Automatic,3.0
3074,3 Series,20000,2020,25503,Petrol,Manual,3.0
3075,4 Series,7995,2015,113000,Diesel,Manual,2.0
3076,5 Series,13950,2019,54000,Diesel,Manual,2.0
3077,1 Series,14995,2019,54000,Diesel,Manual,1.6
3078,5 Series,16995,2019,40000,Petrol,Automatic,2.0
3079,3 Series,17995,2018,37000,Diesel,Manual,2.0
3080,3 Series,16995,2018,24000,Petrol,Automatic,2.0
3081,4 Series,17995,2017,34000,Diesel,Automatic,2.0
3082,3 Series,13750,2020,120334,Petrol,Manual,3.0
3083,X3,14899,2017,37774,Petrol,Automatic,3.0
3084,X3,15500,2020,49171,Petrol,Manual,2.0
3085,3 Series,17500,2021,44558,Petrol,Manual,2.0
3086,3 Series,18500,2020,24744,Petrol,Manual,2.0
3087,X1,3495,2008,87167,Petrol,Manual,1.5
3088,3 Series,15000,2017,45327,Diesel,Automatic,2.0
3089,3 Series,20000,2020,41080,Petrol,Automatic,2.0
3090,3 Series,11977,2016,83751,Diesel,Automatic,3.0
3091,4 Series,5160,2012,92450,Diesel,Manual,2.0
3092,5 Series,14470,2018,55093,Diesel,Manual,2.0
3093,1 Series,3995,2012,99852,Diesel,Manual,1.6
3094,5 Series,18250,2020,30750,Petrol,Manual,2.0
3095,3 Series,20500,2020,32371,Petrol,Automatic,2.0
3096,4 Series,14495,2018,61333,Diesel,Semiauto,2.0
3097,3 Series,21795,2020,24619,Diesel,Manual,3.0
3098,X3,5295,2011,99989,Diesel,Manual,3.0
3099,X3,8495,2015,81573,Petrol,Manual,2.0
3100,X1,14995,2019,36675,Diesel,Automatic,1.5
3101,3 Series,25495,2022,31993,Petrol,Automatic,2.0
3102,3 Series,11800,2016,53250,Petrol,Automatic,2.0
3103,3 Series,13800,2018,58747,Diesel,Manual,2.0
3104,3 Series,18829,2021,30000,Petrol,Manual,3.0
3105,3 Series,18290,2020,56017,Petrol,Automatic,3.0
3106,3 Series,5995,2014,115000,Diesel,Manual,3.0
3107,4 Series,20893,2021,17000,Petrol,Manual,2.0
3108,5 Series,4491,2012,132000,Diesel,Manual,2.0
3109,1 Series,13490,2017,54160,Diesel,Automatic,1.6
3110,5 Series,12999,2018,41000,Petrol,Manual,2.0
3111,3 Series,10758,2017,66300,Petrol,Manual,2.0
3112,3 Series,14495,2018,66194,Petrol,Automatic,2.0
3113,3 Series,6495,2016,120266,Diesel,Manual,2.0
3114,4 Series,5995,2014,115995,Diesel,Manual,2.0
3115,X3,21400,2020,20047,Petrol,Semiauto,3.0
3116,X3,13640,2018,57000,Petrol,Manual,2.0
3117,3 Series,13600,2018,25059,Petrol,Manual,2.0
3118,3 Series,18700,2019,21688,Petrol,Automatic,2.0
3119,X1,19500,2021,33992,Petrol,Manual,1.5
3120,3 Series,21400,2020,26615,Petrol,Automatic,2.0
3121,3 Series,22400,2021,19558,Petrol,Automatic,2.0
3122,3 Series,23500,2020,10501,Petrol,Automatic,3.0
3123,3 Series,14995,2018,19000,Petrol,Manual,3.0
3124,3 Series,11500,2018,63573,Petrol,Manual,3.0
3125,4 Series,9175,2013,41500,Petrol,Automatic,2.0
3126,5 Series,11490,2016,48000,Petrol,Manual,2.0
3127,1 Series,5650,2013,113185,Diesel,Manual,1.6
3128,5 Series,19500,2020,20770,Petrol,Manual,2.0
3129,3 Series,19500,2020,30000,Petrol,Manual,2.0
3130,3 Series,20000,2020,34487,Petrol,Semiauto,2.0
3131,4 Series,20000,2020,17188,Petrol,Manual,2.0
3132,3 Series,21000,2021,13000,Petrol,Manual,3.0
3133,X3,21000,2020,14675,Petrol,Semiauto,3.0
3134,X3,21500,2021,19000,Petrol,Manual,2.0
3135,3 Series,22000,2020,10363,Petrol,Semiauto,2.0
3136,X1,11999,2019,58000,Diesel,Manual,1.5
3137,3 Series,11000,2018,77480,Petrol,Manual,2.0
3138,3 Series,18500,2020,62250,Petrol,Automatic,2.0
3139,3 Series,19500,2019,47900,Petrol,Automatic,3.0
3140,4 Series,10499,2017,72452,Diesel,Manual,2.0
3141,5 Series,19188,2020,58352,Diesel,Automatic,2.0
3142,1 Series,6495,2014,89000,Diesel,Manual,1.6
3143,5 Series,7295,2012,60000,Petrol,Manual,2.0
3144,3 Series,16999,2020,36000,Diesel,Manual,2.0
3145,4 Series,18999,2020,26000,Petrol,Manual,2.0
3146,3 Series,20499,2020,21436,Petrol,Automatic,3.0
3147,X3,4995,2010,107432,Diesel,Manual,3.0
3148,X3,15295,2019,69000,Petrol,Automatic,2.0
3149,3 Series,18695,2020,89000,Petrol,Automatic,2.0
3150,3 Series,22295,2020,24000,Petrol,Automatic,2.0
3151,X1,22495,2020,22000,Petrol,Automatic,1.5
3152,3 Series,18490,2019,31974,Petrol,Manual,2.0
3153,3 Series,19700,2020,37800,Petrol,Semiauto,2.0
3154,3 Series,22300,2020,24100,Petrol,Semiauto,3.0
3155,4 Series,22600,2020,12200,Petrol,Semiauto,2.0
3156,5 Series,14490,2019,62356,Diesel,Manual,2.0
3157,1 Series,20690,2021,30706,Petrol,Manual,1.6
3158,5 Series,25990,2022,16944,Petrol,Automatic,2.0
3159,3 Series,10799,2015,64000,Diesel,Automatic,2.0
3160,3 Series,4495,2008,70000,Petrol,Manual,2.0
3161,4 Series,21490,2020,22600,Petrol,Automatic,2.0
3162,3 Series,12990,2015,49979,Diesel,Automatic,3.0
3163,X3,10490,2017,66660,Diesel,Manual,3.0
3164,X3,12495,2013,7900,Petrol,Automatic,2.0
3165,X1,24495,2020,8867,Petrol,Semiauto,1.5
3166,3 Series,13329,2017,56668,Petrol,Automatic,2.0
3167,3 Series,19999,2020,19713,Petrol,Semiauto,3.0
3168,3 Series,11099,2015,76947,Petrol,Automatic,3.0
3169,3 Series,11099,2015,76947,Petrol,Automatic,3.0
3170,3 Series,11599,2016,68551,Petrol,Automatic,3.0
3171,4 Series,12549,2016,62254,Petrol,Manual,2.0
3172,5 Series,12799,2016,52663,Petrol,Automatic,2.0
3173,1 Series,13499,2015,30934,Petrol,Automatic,1.6
3174,5 Series,13549,2016,58827,Petrol,Automatic,2.0
3175,3 Series,13549,2019,54157,Diesel,Manual,2.0
3176,3 Series,13549,2019,54157,Diesel,Manual,2.0
3177,3 Series,15599,2018,20537,Diesel,Automatic,2.0
3178,3 Series,15599,2018,20537,Diesel,Automatic,2.0
3179,3 Series,16949,2017,56883,Diesel,Automatic,2.0
3180,4 Series,17149,2021,50868,Petrol,Automatic,2.0
3181,3 Series,17399,2019,10241,Diesel,Automatic,3.0
3182,X3,17599,2018,26204,Petrol,Automatic,3.0
3183,X3,18749,2021,46548,Petrol,Manual,2.0
3184,3 Series,19699,2021,14411,Petrol,Automatic,2.0
3185,3 Series,19699,2021,14411,Petrol,Automatic,2.0
3186,3 Series,19799,2019,30193,Diesel,Automatic,2.0
3187,X1,21449,2022,16576,Petrol,Automatic,1.5
3188,3 Series,22149,2022,9602,Petrol,Automatic,2.0
3189,3 Series,22149,2022,9602,Petrol,Automatic,2.0
3190,3 Series,22549,2022,7665,Petrol,Automatic,2.0
3191,3 Series,22549,2022,7665,Petrol,Automatic,2.0
3192,3 Series,22599,2022,4616,Petrol,Automatic,2.0
3193,3 Series,22749,2022,3243,Petrol,Automatic,3.0
3194,4 Series,11599,2016,68551,Petrol,Automatic,2.0
3195,5 Series,12549,2016,62254,Petrol,Manual,2.0
3196,1 Series,12799,2016,52663,Petrol,Automatic,1.6
3197,5 Series,13499,2015,30934,Petrol,Automatic,2.0
3198,3 Series,13549,2016,58827,Petrol,Automatic,2.0
3199,4 Series,16949,2017,56883,Diesel,Automatic,2.0
3200,3 Series,17149,2021,50868,Petrol,Automatic,3.0
3201,X3,17399,2019,10241,Diesel,Automatic,3.0
3202,X3,17599,2018,26204,Petrol,Automatic,2.0
3203,3 Series,18749,2021,46548,Petrol,Manual,2.0
3204,X1,19799,2019,30193,Diesel,Automatic,1.5
3205,3 Series,21449,2022,16576,Petrol,Automatic,2.0
3206,3 Series,22599,2022,4616,Petrol,Automatic,3.0
3207,3 Series,22799,2022,16283,Petrol,Automatic,3.0
3208,4 Series,23249,2022,12701,Petrol,Automatic,2.0
3209,5 Series,24049,2022,14062,Petrol,Automatic,2.0
3210,1 Series,12000,2019,81836,Petrol,Manual,1.6
3211,5 Series,13300,2018,52787,Diesel,Manual,2.0
3212,3 Series,13500,2019,51404,Petrol,Manual,2.0
3213,3 Series,13900,2017,50175,Petrol,Automatic,2.0
3214,3 Series,14000,2018,19593,Diesel,Manual,2.0
3215,4 Series,14500,2019,35274,Petrol,Semiauto,2.0
3216,3 Series,14800,2015,37441,Petrol,Automatic,3.0
3217,X3,15100,2020,65176,Petrol,Manual,3.0
3218,X3,15300,2018,21419,Diesel,Automatic,2.0
3219,3 Series,15400,2019,53506,Diesel,Automatic,2.0
3220,3 Series,15500,2018,30121,Diesel,Automatic,2.0
3221,X1,15500,2018,35462,Diesel,Automatic,1.5
3222,3 Series,16000,2018,34097,Diesel,Automatic,2.0
3223,3 Series,16200,2018,39070,Petrol,Automatic,2.0
3224,3 Series,16400,2018,33877,Diesel,Automatic,2.0
3225,3 Series,16900,2018,20023,Petrol,Automatic,3.0
3226,3 Series,17300,2019,30120,Diesel,Automatic,3.0
3227,3 Series,17400,2016,26434,Diesel,Automatic,3.0
3228,4 Series,19200,2021,26687,Petrol,Automatic,2.0
3229,5 Series,19900,2021,18813,Petrol,Automatic,2.0
3230,1 Series,20400,2021,20225,Petrol,Automatic,1.6
3231,5 Series,20500,2021,22009,Petrol,Automatic,2.0
3232,3 Series,21200,2020,24024,Petrol,Automatic,2.0
3233,3 Series,22500,2021,15735,Petrol,Manual,2.0
3234,3 Series,24000,2022,12026,Petrol,Automatic,2.0
3235,4 Series,24200,2020,17747,Diesel,Automatic,2.0
3236,3 Series,10495,2016,75276,Diesel,Manual,3.0
3237,X3,11995,2016,65000,Petrol,Automatic,3.0
3238,X3,9500,2015,141236,Diesel,Automatic,2.0
3239,3 Series,19999,2020,19713,Petrol,Semiauto,2.0
3240,3 Series,18795,2019,21000,Diesel,Manual,2.0
3241,X1,19990,2018,36000,Diesel,Automatic,1.5
3242,3 Series,16690,2019,38000,Hybrid,Automatic,2.0
3243,3 Series,12500,2018,83661,Diesel,Automatic,2.0
3244,3 Series,12600,2019,60020,Petrol,Manual,2.0
3245,3 Series,13800,2019,51765,Petrol,Manual,3.0
3246,3 Series,14500,2019,35120,Petrol,Automatic,3.0
3247,3 Series,14500,2019,35797,Petrol,Manual,3.0
3248,4 Series,14500,2017,23048,Petrol,Automatic,2.0
3249,5 Series,16700,2018,59569,Petrol,Automatic,2.0
3250,1 Series,17100,2020,23009,Petrol,Manual,1.6
3251,5 Series,17500,2019,29861,Hybrid,Automatic,2.0
3252,3 Series,17700,2019,25135,Petrol,Automatic,2.0
3253,3 Series,20000,2021,42377,Diesel,Automatic,2.0
3254,3 Series,20200,2021,16369,Petrol,Automatic,2.0
3255,4 Series,11690,2018,90702,Hybrid,Automatic,2.0
3256,3 Series,11995,2018,67000,Diesel,Automatic,3.0
3257,X3,11100,2017,51300,Petrol,Manual,3.0
3258,X3,12695,2019,37083,Petrol,Manual,2.0
3259,3 Series,14700,2018,39863,Diesel,Manual,2.0
3260,3 Series,16300,2015,43000,Diesel,Automatic,2.0
3261,X1,12950,2016,62244,Hybrid,Automatic,1.5
3262,3 Series,15750,2017,12174,Diesel,Manual,2.0
3263,3 Series,12990,2016,83900,Diesel,Automatic,2.0
3264,3 Series,14995,2014,79000,Petrol,Automatic,2.0
3265,3 Series,33650,2022,4909,Petrol,Automatic,3.0
3266,3 Series,19500,2021,30316,Petrol,Manual,3.0
3267,3 Series,19500,2021,30316,Petrol,Manual,3.0
3268,3 Series,25223,2020,13000,Diesel,Semiauto,3.0
3269,4 Series,23782,2021,12234,Petrol,Automatic,2.0
3270,5 Series,18495,2018,16433,Petrol,Automatic,2.0
3271,1 Series,19795,2020,38270,Petrol,Automatic,1.6
3272,5 Series,19795,2019,3939,Petrol,Automatic,2.0
3273,3 Series,21495,2020,14669,Petrol,Automatic,2.0
3274,3 Series,16500,2017,19389,Petrol,Automatic,2.0
3275,3 Series,15499,2017,51175,Petrol,Automatic,2.0
3276,4 Series,15499,2018,71744,Petrol,Automatic,2.0
3277,3 Series,15495,2019,67000,Diesel,Automatic,3.0
3278,X3,14301,2017,55000,Petrol,Semiauto,3.0
3279,X3,12495,2016,64844,Diesel,Automatic,2.0
3280,3 Series,12995,2017,71966,Hybrid,Automatic,2.0
3281,3 Series,16795,2018,37085,Diesel,Automatic,2.0
3283,3 Series,11895,2016,83000,Diesel,Automatic,2.0
3284,3 Series,13950,2016,38999,Diesel,Automatic,2.0
3285,3 Series,14695,2018,27000,Petrol,Manual,2.0
3286,3 Series,14700,2017,55820,Petrol,Automatic,3.0
3287,3 Series,15500,2017,45800,Petrol,Automatic,3.0
3288,3 Series,9400,2015,84032,Diesel,Manual,3.0
3289,4 Series,13950,2015,39418,Diesel,Automatic,2.0
3290,5 Series,14995,2016,39103,Petrol,Automatic,2.0
3291,1 Series,17940,2017,5273,Petrol,Automatic,1.6
3292,5 Series,18440,2016,34511,Petrol,Automatic,2.0
3293,3 Series,12595,2019,52570,Petrol,Manual,2.0
3294,3 Series,13995,2018,47000,Diesel,Manual,2.0
3295,3 Series,7495,2015,86580,Petrol,Manual,2.0
3296,4 Series,17950,2018,7358,Petrol,Automatic,2.0
3297,3 Series,11899,2016,104588,Diesel,Automatic,3.0
3298,X3,13399,2015,79989,Petrol,Automatic,3.0
3299,X3,17500,2016,21200,Petrol,Automatic,2.0
3300,3 Series,14995,2016,34124,Diesel,Automatic,2.0
3301,3 Series,11800,2016,74500,Hybrid,Automatic,2.0
3302,X1,15555,2017,48365,Diesel,Semiauto,1.5
3303,3 Series,15995,2018,26268,Petrol,Semiauto,2.0
3304,3 Series,13495,2015,92250,Diesel,Automatic,2.0
3305,3 Series,13495,2016,49705,Hybrid,Automatic,2.0
3306,3 Series,14495,2018,36950,Diesel,Automatic,3.0
3307,3 Series,14440,2016,42701,Petrol,Automatic,3.0
3308,3 Series,16495,2017,53127,Petrol,Automatic,3.0
3309,4 Series,15999,2017,41500,Petrol,Semiauto,2.0
3310,5 Series,17899,2017,35476,Petrol,Automatic,2.0
3311,1 Series,14840,2018,68000,Diesel,Automatic,1.6
3312,5 Series,12985,2015,65000,Diesel,Automatic,2.0
3313,3 Series,13290,2017,43626,Diesel,Automatic,2.0
3314,3 Series,12000,2016,46519,Diesel,Manual,2.0
3315,3 Series,12100,2019,48524,Petrol,Manual,2.0
3316,4 Series,12100,2016,61359,Diesel,Automatic,2.0
3317,3 Series,12300,2019,59433,Petrol,Manual,3.0
3318,X3,12400,2016,43660,Petrol,Manual,3.0
3319,X3,13200,2017,34650,Diesel,Automatic,2.0
3320,3 Series,13500,2016,44687,Diesel,Automatic,2.0
3321,3 Series,13600,2019,41984,Petrol,Manual,2.0
3322,X1,14200,2019,23203,Petrol,Manual,1.5
3323,3 Series,14400,2020,36439,Petrol,Manual,2.0
3324,3 Series,14500,2018,18107,Diesel,Manual,2.0
3325,3 Series,14500,2020,35083,Petrol,Manual,2.0
3326,3 Series,14600,2018,53238,Petrol,Automatic,3.0
3327,3 Series,14900,2019,29227,Petrol,Manual,3.0
3328,3 Series,15000,2020,29611,Petrol,Automatic,3.0
3329,4 Series,15000,2018,37771,Diesel,Automatic,2.0
3330,5 Series,15200,2018,24075,Petrol,Manual,2.0
3331,1 Series,15200,2019,31751,Diesel,Manual,1.6
3332,5 Series,15200,2019,40258,Petrol,Manual,2.0
3333,3 Series,15300,2019,18072,Petrol,Manual,2.0
3334,3 Series,15400,2018,43336,Hybrid,Automatic,2.0
3335,3 Series,15500,2020,37244,Petrol,Semiauto,2.0
3336,4 Series,15700,2018,14488,Diesel,Manual,2.0
3337,3 Series,15900,2019,40231,Hybrid,Automatic,3.0
3338,X3,15900,2019,27610,Diesel,Manual,3.0
3339,X3,15900,2018,17522,Petrol,Automatic,2.0
3340,3 Series,16200,2018,41098,Petrol,Manual,2.0
3341,3 Series,16500,2019,41487,Diesel,Automatic,2.0
3342,X1,17000,2019,28067,Hybrid,Automatic,1.5
3343,3 Series,17000,2019,30856,Petrol,Automatic,2.0
3344,3 Series,17000,2019,26099,Hybrid,Automatic,2.0
3345,3 Series,17300,2021,59923,Petrol,Manual,2.0
3346,3 Series,17500,2020,21579,Petrol,Automatic,3.0
3347,3 Series,17500,2019,14128,Petrol,Automatic,3.0
3348,3 Series,17500,2020,17367,Petrol,Semiauto,3.0
3349,4 Series,17900,2021,29049,Petrol,Manual,2.0
3350,5 Series,18000,2019,24893,Hybrid,Automatic,2.0
3351,1 Series,18000,2018,31268,Petrol,Automatic,1.6
3352,5 Series,19000,2021,35338,Petrol,Manual,2.0
3353,3 Series,19500,2019,24331,Diesel,Automatic,2.0
3354,3 Series,19800,2021,21807,Petrol,Automatic,2.0
3355,3 Series,20200,2020,6202,Petrol,Automatic,2.0
3356,4 Series,21800,2021,21746,Petrol,Automatic,2.0
3357,3 Series,21229,2021,14101,Petrol,Semiauto,3.0
3358,X3,15995,2019,40000,Diesel,Manual,3.0
3359,X3,22000,2021,14119,Hybrid,Automatic,2.0
3360,3 Series,18990,2019,44448,Diesel,Automatic,2.0
3361,3 Series,14479,2018,53836,Petrol,Manual,2.0
3362,X1,16995,2018,18453,Petrol,Automatic,1.5
3363,3 Series,10995,2015,83762,Diesel,Automatic,2.0
3364,3 Series,19777,2021,15900,Petrol,Manual,2.0
3365,3 Series,25797,2021,23400,Diesel,Automatic,2.0
3366,3 Series,12995,2016,91070,Diesel,Automatic,3.0
3367,3 Series,13420,2018,76335,Petrol,Automatic,3.0
